id,question,author,answer,date,answer_relevance,Relevant,25,,
4263,asked the Prime Minister what consultations he is having with the leaders of private industry to seek their co-operation in solving the national economic problems.,Mr. Walden,"My colleagues and I intend to continue the policies which have already secured notable co-operation from representatives of private industry, for example, in the reconstruction of the National Economic Development Council, the formation of Economic Development Committees and of Economic Planning Councils.",02/03/1965,0.5769,,,,
4410,"Is the Prime Minister aware that, though he informed me in an earlier Written Answer that no official facilities were provided, the author states in his preface I should like to ask the Prime Minister to give further consideration to the supplementary question asked by the hon. Member for Inverness (Mr. Russell Johnston) so that we can make sure that the allegations made about the Government and the Foreign Secretary of the day are officially and impartially confirmed. If, as my right hon. Friend implies, no official facilities were furnished to Mr. Robertson to write the book, has he any idea how Mr. Robertson managed to get information about decisions taken in the Cabinet? Is my right hon. Friend aware that recently I had an opportunity of reviewing the book and found it full of omissions and inaccuracies? If, as my right hon. Friend implies, no official facilities were furnished to Mr. Robertson to write the book, has he any idea how Mr. Robertson managed to get information about decisions taken in the Cabinet? Is my right hon. Friend aware that recently I had an opportunity of reviewing the book and found it full of omissions and inaccuracies?",Mr. Rowland,"As I go through the book myself, I am becoming more and more interested in some of the information in it certainly, but I confirm that the author has not received any help  from British official sources as to what went on in the Cabinet, or, what seems to be much more relevant, what went on behind the Cabinet's back.",30/03/1965,0.2512,,,,
4557,"Is my right hon. Friend aware that the previous Government, after several years of negotiations with the West German Federal Government, and under pressure from myself and many other members of the previous Opposition, never reached a satisfactory con-  clusion? At the same time, would my right hon. Friend take note of the report about the arrangements between the West German Government and the French Government, and try to get some satisfactory arrangements with the German Government?",Mr. Shinwell,"I am well aware of the achievements, if one can use that word, of the previous Government but in reference to the particular deal that was trumpeted by the Daily Express yesterday, which has so excited the right hon. Gentleman, so far as we can obtain information on this, there is little, and possibly nothing, new in this compared with the orders already placed with the French Government by the German Government when the right hon. Gentleman was in the Cabinet.",06/05/1965,0.1535,,,,
4704,Does the right hon. Gentleman think that this improvement has anything whatever to do with his policies?,Mr. Maudling,"In answer to the Shadow Foreign Secretary, I would point out that the shadow Chancellor, I think he is, sitting next to him, spent a little time at Question Time two weeks ago blaming the Government for the slightly adverse fall in the trade figures between one month and another. Perhaps the right hon. Gentleman can sort it out and brief his right hon. Friend.",27/05/1965,0.1486,,,,
4851,asked the Prime Minister whether he will introduce legislation to return the Elgin Marbles to Athens; and if he will make a statement.,Mr. Hamling,"The Elgin Marbles are vested in the Trustees of the British Museum, and I do not propose to introduce legislation to require the Trustees to return them to Athens.",01/07/1965,0.3523,,,,
4998,"Might I make the observation that I sometimes wish that the right hon. Gentleman would behave like a Prime Minister? On the particular point, while I supported the mission as having an outside chance, the only word with which I can describe the other mission is idiotic"".""",Sir Alec Douglas-Home,"I have tried to take the advice of the right hon. Gentleman. The first advice, of course, marks a welcome change after the previous 12 months. I would hope that he would agree that one of the duties of a Prime Minister is to try to seek peace in this very difficult situation in Vietnam. I might say that it is one of the duties of a Leader of the Opposition to help in that task or to propose alternative means of securing peace, which the right hon. Gentleman has not done. Since he this week condemned the Commonwealth Peace Mission—",22/07/1965,0.2214,,,,
5145,"Is my right hon. Friend aware that on several occasions, for example, the occasions of his important statements of 1st and 3rd November, on Rhodesia, hon. Members wishing to study them had to beg or borrow copies from members of the Press Gallery, and that only one copy in the Library is not really adequate for this purpose?",Mr. Rowland,"I shall consider whether there should be more copies in the Library, but my hon. Friend will recognise that the statements last week had to be prepared right at the last moment, and I was not able to observe the usual courtesy to the Opposition. No member of the Press receives a final copy of what has been said until I have sat down and it has been checked.",16/11/1965,0.0819,,,,
5292,"Would my right hon. Friend agree that, however defensive the acquisition of arms by a country like Saudi Arabia appears to be, the arms would constitute a formidable addition to the striking force of that country and, therefore, create grave anxiety in places like Israel and perhaps even Aden, where they might be used against our own forces, and will inevitably start up a new phase of the arms race in the Middle East?",Mr. Tuck,"I do not disagree with what my hon. Friend has in mind, and certainly in regard to the supply of arms from certain countries to, for example, the U.A.R. and the anxieties felt as between the U.A.R. and Israel, there is every case, if we could reach agreement, for getting some kind of ban on arms. But there are very great difficulties, not least the problem of the nuclear  question, missiles and so on. That is why I say that I do not think that the time has yet been reached when we should be trying to formulate this particular proposition.",07/12/1965,0.1999,,,,
5439,asked the Prime Minister what plans he has to improve the co-ordination between the Ministry of Public Building and Works and the Ministry of Housing and Local Government in the use of building materials.,Mr. Ian Gilmour,"None, Sir, since the present arrangements are satisfactory.",01/02/1966,-0.0002,,,,
5586,"Are we to assume that  integration' means that the reshaping plans are to be abandoned?""",Sir M. Redmayne,"If by ""reshaping plans"" the right hon. Gentleman means  the closure policy, the position on that has been announced several times from this side. There is no abandonment of the policy as enunciated by us�not as enunciated by the previous Government. But by ""integration"" we mean that the system under which the railways have been driven unnecessarily into a position where they cannot pay their way while other sections of the transport industry are very profitable and not brought into the same reckoning, must be ended at the earliest opportunity.",17/02/1966,0.3096,,,,
5733,Would the Prime Minister consider setting up within the Estimates Committee an economic policy committee through which we could cross-examine the intentions of the Treasury?,Mr. Gresham Cooke,"This is a very bad moment to talk about the intentions of the Treasury when we have not yet heard the Budget statement. But I should have thought that the House has abundant opportunities to debate economic policies, and the view expressed by many hon. Members on both sides of the House is that there are not corresponding facilities in other fields of national and, indeed, international policy.",03/05/1966,0.1795,,,,
5880,"Since N.A.T.O. came into being to safeguard Western Europe against a Stalinist expansionist policy, and since that policy has been dropped, ought not N.A.T.O. to be reconsidered entirely.",Sir C. Osborne,The hon. Member is raising some very wide issues which have been debated many times and which have required full debate. There is a very serious situation going on in N.A.T.O. Of course we have said that we must take advantage of the fact which the hon. Member mentioned to modernise those aspects of N.A.T.O. which need modernisation and on which my right hon. Friend the Secretary of State for Defence has made a number of proposals over the past year.,19/05/1966,0.0225,,,,
6027,"I will tell the Prime Minister perfectly clearly why I did not support the Government in the Lobby. I supported them by my voice here, as he  himself has done on many occasions in the past when he supported the Government of the day but did not go with the Opposition into the Lobby.",Mr. Heath,"The right hon. Gentleman will recall that on that same day he voted against the Government on Rhodesia policy, and when hon. Members were asked to stand up and be counted on the oil sanctions he sat in his place and did not vote. Is he aware that on this, as on other things, we might have had action and not words in support of the Government?",23/06/1966,0.2066,,,,
6174,"The right hon. Gentleman has twice now called in aid the position of the Co-Chairmanship. Of course, that is important, but have the Russians imposed any such restrictions from their side?",Sir Alec Douglas-Home,"No, Sir. I have said many times at Question Time, and I said it in the recent debate, that the fact that the Russians have supplied arms is not a reason why we should. I think that it is right, and it is the view of the Government, that in this respect we should take a more austere and responsible view of our position as Co-Chairman than the Russians do, and, apparently, than the right hon. Gentleman did when he was concerned.",14/07/1966,0.183,,,,
6321,"Is the Prime Minister aware that I have been rereading the speech with great interest? He will no doubt recall that, in that speech, he referred to the moaning Minnies and wet editorials""",Mr. Bruce-Gardyne,"I am glad that the hon. Gentleman read the speech, even if he did not use the one in the Library. The wet editorial which I had in mind was one in the Observer the Sunday before I made the speech, which suggested that the £ was over-valued and ought to be devalued. I thought that this was particularly wet and particularly irrelevant. I thought that, since we have increased our exports to the most competitive market of all—the United States—by 40 per cent. in the last 18 months, the term wet"" was a very kind appellation to apply to that editorial.""",04/08/1966,0.2255,,,,
6468,"In making preparations for an Asian visit, would my right hon. Friend give consideration to the possibilities of linking British aid to developing countries with under-used resources in this country, such for instance as the capacity at Bathgate where there is 9 per cent. unemployment?",Mr. Dalyell,"That is a bit remote from the visit. As my hon. Friend knows, I had to decline, with regret, because of the possibility of an early recall of the House, an invitation to visit India. On the question my hon. Friend raises, this is very much our policy so far as possible. Indeed, as soon as the Bathgate position became clear, I asked whether in the aid we are giving to Zambia in the matter of trucks we could use Bathgate's capacity. Unfortunately, Bathgate did not produce the kind of trucks needed in Zambia.",01/11/1966,0.1958,,,,
6615,asked the Prime Minister if he will now amend the six principles named by him on the basis of a possible settlement of the Rhodesian question so as to make the granting of majority rule to the peoples of that Colony a condition precedent to a settlement.,Mr. Elystan Morgan,Our position on majority rule is made clear in the communiqué issued after the recent meeting of Commonwealth Prime Ministers.,17/11/1966,0.1378,,,,
6762,asked the Prime Minister what is his practice on transferring Questions.,Sir C. Osborne,"The traditional practice, Sir.",08/12/1966,0.0235,,,,
6909,The Prime Minister may go on trying to deceive the rest of the world about what— All he  is doing is succeeding in deceiving himself. Will the Prime Minister now address himself to the question and give the House a serious answer?,Mr. Heath,"I do not deceive myself about the right hon. Gentleman's vote.  I will reply to the right hon. Gentleman's preamble first and then reply to his question. I do not deceive myself about the right hon. Gentleman's vote, which is on the record in this House, and which he could have avoided by an honest Amendment to our Motion.",02/02/1967,0.0815,,,,
7056,"Is my right hon. Friend aware that I am very grateful for the favourable commendation from the right hon. Gentleman the Member for Streatham (Mr. Sandys), but in the Government's present difficulties, which cannot be concealed, does he not think it advisable for members of the Cabinet to be careful about the company that they keep?",Mr. Shinwell,"In view of the courtesies between the two right hon. Members, which I must say are over my head, I would certainly not feel that any difficulty has arisen from the presence of my right hon. Friend at that meeting, despite the fact that I understand that at least one right hon. Gentleman present took advantage of the occasion to make  a little party capital, even though I thought that it was a non-party occasion.",23/02/1967,0.1633,,,,
7203,"Would not my right hon. Friend agree that while it is right and proper that we should encourage the United Nations Mission to visit Aden and do its work there, the threat of murder and riot which has been issued recently is sufficient for us to think again about sending children there during that period?",Mr. Leadbitter,"That is a separate question, which was fully dealt with by my right hon. Friend the Secretary of State for Defence yesterday. Much as we deplore the statement made by one of the leaders of F.L.O.S.Y., reported in the Press this morning, I do not think that that in itself adds anything more to the very fearsome and deplorable record of terrorism there is in Aden, which was taken fully into account in all the answers my right hon. Friend gave yesterday afternoon.",14/03/1967,0.083,,,,
7350,"Was not the Secretary of State's speech very misleading in that he quoted figures of overseas assets of the United Kingdom of £16,000 million—incidentally, mostly built up by private enterprise—but neglected to mention the fact that there were nearly £14,000 million liabilities?",Sir C. Taylor,"No, Sir. My right hon. Friend did not say anything so misleading. He said: Britain's overseas assets total nearly 40,000 million dollars and gross assets exceed gross liabilities by more than 5,000 million dollars. If the hon. Gentleman will do the simple process of subtracting and dividing by 2·8, he will find that this gives the same figure as he has reached himself in sterling.",11/04/1967,0.4496,,,,
7497,"Will my right hon. Friend take into account the present fiscal system, which, in some respects, conflicts with our social security system in that the highest tax allowances give benefits in respect of, for example, housing and education—benefits which are available to the richest people?",Mr. Whitaker,"I am well aware of that argument. It was one of the points made by a number of hon. Members in the debate. However, I cannot at this stage prejudge the Government's announcement on this later in the summer.",04/05/1967,-0.0025,,,,
7644,asked the Prime Minister if he will make a statement on his recent talks with General de Gaulle.,Mr. Eldon Griffiths,"With permission, I will answer Questions Q8, Q9 and Q11 at the end of Question Time.",20/06/1967,-0.0018,,,,
7791,"Is it not a fact that Lord Alport will return at the weekend, and, if it be so, may we hope for a statement from the Government next week?",Mr. King,I think that his present plans involve a return either at the weekend or early next week. As soon as my right hon. Friend and I have heard from him and considered what he tells us. I hope that we can make a full statement in the House.,11/07/1967,0.4764,,,,
7938,"Would my right hon. Friend give consideration now to having very high-level talks with the French Government with a view to seeing whether there are any conditions at all  on which they will now allow Britain into the Common Market and, if there are not, will he consider temporarily withdrawing our application?",Mr. Henig,"Our application was made to the Six, our application remains in with the Six, and it is being considered by the Six. As my hon. Friend knows, in addition to the talks my right hon. Friend had with the French President and his Government in January, I had very full discussions with the French President in June. Our discussions must continue to be with the Six.",07/11/1967,0.1327,,,,
8085,"Is my right hon. Friend aware that, whatever political objections may be coming from France, within France the technologists and scientists are extremely interested in collaboration? Will he particularly pursue the question of Capenhurst and the high temperature reactor?",Dr. Owen,"I am aware that the scientists and technologists in France are extremely anxious to co-operate with us in the Capenhurst-Piemelatte kind of link, but also, as I said at the Guildhall, there is the need, on a wider European basis, to make Europe independent of supply from across the seas of enriched uranium 235 and other nuclear material.",30/11/1967,0.1597,,,,
8232,"Is the Prime Minister aware that many of his hon. Friends feel that a central authoritative source of information would greatly assist with Press relations and would enable the Government to, for example, mount a buy British campaign to back up devaluation?",Mr. Ford,"I think that the existing arrangements whereby Government decisions are notified to this House —and by other appropriate and well tried channels—are perfectly adequate in this matter. I am aware that former Governments have had Ministers specially charged with this duty, but experience of that has shown that there are better ways of communicating decisions reached by the Cabinet.",19/12/1967,0.1056,,,,
8379,"While he is in Washington, will the Prime Minister remind not only President Johnson but the people of the United States of the text of the resolution carried at the Labour Party conference, which asked not only for the stopping of bombing but for our dissociation from the American aggression in Vietnam? Why does the Prime Minister, by way of a change, not try a nice long visit to Chairman Mao Tse Tung whose aims in South-East Asia the Government are doing so much to help? Why does the Prime Minister, by way of a change, not try a nice long visit to Chairman Mao Tse Tung whose aims in South-East Asia the Government are doing so much to help? Will the Prime Minister make clear that there can be no improvement in Anglo-Soviet relations so long as the Soviet Union persists in fomenting trouble in the Middle East by training and arming Egypt for a renewal of the war against Israel?",Mrs. Anne Kerr,"In my talks in Moscow we discussed Middle East questions, including the Suez Canal question, at great length. Their position is, of course, basically different from ours, but both sides have supported the resolution put forward in the Security Council by the British Government.",06/02/1968,0.1531,,,,
8526,asked the Prime Minister what plans he has to visit General de Gaulle to discuss Anglo-French relations and mutual problems; and if he will make a statement.,Mr. Heffer,"None at present, Sir.",29/02/1968,0.0039,,,,
8673,asked the Prime Minister whether he has given consideration to the decision of the House of  Lords in Conway v. Rimmer and another; and whether instructions have been issued to Government Departments regarding claims to Crown privilege in the light of it.,Sir D. Walker-Smith,Careful consideration is being given to the implications of this decision. No fresh instructions have yet been issued to Government Departments regarding claims to Crown privilege but this will be done as soon as possible. Should any questions of claiming privilege arise before fresh instructions are issued it will be dealt with on its merits in the light of the House of Lords decision.,26/03/1968,0.3843,,,,
8820,"In trying to improve the public relations and Press relations of the Government and Government Departments, will my right hon. Friend look at the possibility of employing more working journalists in the information services and fewer public relations officers who come from differing and non-journalist backgrounds?",Dr. Gray,"I cannot immediately think of many, or any, such public relations officers, though I may be wrong. Certainly, those most closely associated with me were working journalists with great experience of the Press.",11/04/1968,0.4288,,,,
8967,"Would not the Prime Minister agree that the recent statement by Smith that there can be no majority  rule in Rhodesia for a hundred years makes a mockery of any proposals brought back from Rhodesia by the right hon. Member for Kinross and West Perthshire (Sir Alec Douglas-Home)? In view of the continued fighting in Rhodesia, is not even the illegal régime's law and order now breaking down?",Mr. Winnick,"I have already commented in this House on the statement made by Mr. Smith in the Sunday Telegraph. It suggests, if we are to take those words at their face value, that he rejects the whole concept of the six principles on which not only Her Majesty's Government but the right hon. Member for Kinross and West Perthshire (Sir Alec Douglas-Home) was insisting in his visit.",16/05/1968,0.3724,,,,
9114,"In view of the considerable technological advances and the amount of foreign currency earned by the industry, would my right hon. Friend consider making the ship-repair industry eligible for the Award?",Dr. Dunwoody,"As I said, it was agreed with industry at the beginning of the scheme, which has now been running for more than two years, that the whole question of eligibility and coverage should be reviewed at the end of five years' working. No doubt that would provide an appropriate time for considering my hon. Friend's question.",13/06/1968,0.2593,,,,
9261,"asked the Prime Minister if, in view of the fact that an adverse figure was recorded in the balance of payments returns for June 1968, he will reconsider his decision not to set up a separate Department for Tourism.",Mr. Milne,"If my hon. Friend is concerned with the effect of tourism on the balance of payments he will be glad to know that the number of foreign visitors arriving in the United Kingdom in the first four months of 1968 was 18 per cent. higher than in the corresponding period of 1967. As to a Department of Tourism, my view is still as I expressed it in reply to a Question by my right hon. Friend the Member for Kettering (Sir G. de Freitas) on 29th February.—",02/07/1968,0.2466,,,,
9408,"asked the Prime Minister whether, following recent developments in France, he will issue an invitation to the President of France to  visit the United Kingdom so that a discussion may take place about the British application to join the Common Market.",Sir Knox Cunningham,I would yet again refer the hon. and learned Member to the Answer I gave to a Question by my hon. Friend the Member for Lancaster (Mr. Henig) on 2nd April—,25/07/1968,-0.0005,,,,
9555,"Can my right hon. Friend reassure the House that it will be no part of the present negotiations that the personnel of such a Royal Commission will be subject to the approval of Mr. Smith, and that it would be possible for Her Majesty to appoint Mr. Kaunda as president of it without having any difficulty?",Mr. Pavitt,"In the ""Fearless"" proposals we made it clear that the appointment would be ours. It would, of course, be subject to consultation with the Rhodesian r�gime. I do not know whether my right hon. Friend in Salisbury will be taking this matter further, but I can imagine President Kaunda himself having some reservations about the proposal my hon. Friend has made.",07/11/1968,0.3107,,07/11/1968,0.3107,
