id,question,author,answer,date,answer_relevance
1287,"Does not this proposal about detection offer by far the best opportunity of reaching a solution, or at any rate a partial solution, of this very vexed problem? Can the right hon. Gentleman say whether the reports which appeared in several newspapers this morning that conversations to this effect, albeit of an informal character, have already taken place in Geneva, and will he encourage the British delegate there—I understand that it is the Secretary of State for Foreign Affairs—to express, so far as is practicable, a conciliatory opinion?","Mr. Shinwell","I think that what we all hope to get is a successful negotiation. I hope the House will feel that we have tried to negotiate in the way most likely to get results. I am not able to say today how far the possibility of not having to have the inspection system on Russian soil alters the question whether certain on-site inspections will still be required as part of any treaty. All this is being carefully examined, and we hope to make progress.",1962-07-17,NULL
1404,"In view of President Kennedy's statement yesterday that the Americans are to carry out three more high altitude tests and in view of Mr. Khrushchev's announcement of the intention of his Government to carry out high altitude tests, may I ask the Prime Minister whether any further proposals have been agreed between him and President Kennedy with a view to expediting the achievement of a nuclear test ban treaty and so end the need for these tests?","Mr. Henderson","We have very close communication on this subject which, as the right hon. and learned Gentleman knows, is now being discussed at Geneva. I hope that we may be able to make some valuable proposals.",1962-08-02,NULL
1521,"Is not part of the difficulty caused by the fact that the two Departments are not combined, which necessarily means an exceptionally heavy burden on the Secretary of State? Will the Prime Minister consider whether the time has not come—since he seems unlikely to separate the two again—when they should be properly integrated so that the civil servants can share the burden?","Mr. Gaitskell","Yes, Sir. I think that steps to closer co-operation are being taken and we may at some point be able to take a further step. This seems the best way to start the experiment.",1962-11-22,NULL
1638,"Would not the Prime Minister put an end to the doubts and misgivings which obviously exist by stating quite clearly that the Government are opposed to the creation of a European, N.A.T.O. or Common Market nuclear force and stand with the United States in demanding unified control of any such force?","Mr. Zilliacus","I am glad to see that on this matter the hon. Member ranges himself beside General de Gaulle.",1962-12-13,NULL
1755,"Can the Prime Minister give any indication how far Her Majesty's Government have gone in their policy to facilitate talks on Kashmir and the differences between India and Pakistan?","Mr. Donnelly","As the hon. Member probably knows, these talks are continuing, and we must hope for their success.",1963-02-05,NULL
1872,"Is the right hon. Gentleman aware that there is at present considerable competition on his own side on the need for finding an immediate successor to him? Will he provide facilities for that?","Mr. Shinwell","No, Sir. The difficulty about the whole problem raised in these questions is that there appears to be equal anxiety on the part of some people to go to the House of Lords and on the part of others to come back to the House of Commons. But we must find a way through.",1963-02-21,NULL
1989,"Would my right hon. Friend use any influence which he may have with the Leader of the Opposition and ask him to persuade the four Socialist-controlled councils in the immediate vicinity of Cardiff which have consistently refused to sell freeholds to sitting leasehold occupiers⤔","Mr. Box","I will do what I can through the usual channels.",1963-03-12,NULL
2106,"Did the Prime Minister say just now, or did we mishear him, "if the remarks of the Lord Privy Seal are of any value"? Is not that a rather ominous remark?","Mr. Driberg","I said, "if they were of any value" in relation to the Question. That is what I meant. I have read this report as closely as I can but I cannot find this point. I will look at the report again. It is very long.",1963-04-02,NULL
2223,"asked the Prime Minister if he is aware that the late Mr. H. V. Pennells was wrongly blamed in Command Paper No. 2009; and whether he will cause further inquiries to be made especially from those who knew him.","Commander Kerans","I have no evidence for thinking that the Tribunal was mistaken in its conclusions about the late Mr. Pennells; but it is important to see these conclusions in proper perspective. The Tribunal considered that Mr. Penells was remiss and lacking in judgment in not taking effective action, notwithstanding warnings from the Foreign Office, to seek a review of the system of selecting subordinate staff for naval attachés behind the Iron Curtain. But it said that it would be unjust to conclude that Mr. Pennells had been negligent of his public duty, and it commented that in general he was efficient and conscientious and served the Admiralty well.",1963-05-02,NULL
2340,"In view of the very startling statement made in this report of British scientists, have the Government specifically asked the American Government for an assurance that they would not embark on such tests without consultations with us?","Mr. M. Foot","No, Sir. I should not try, and I should not lend myself to trying, to prevent something if it is really of great national security importance.",1963-05-28,NULL
2457,"asked the Prime Minister if he will arrange, that when complex legislation is presented to the House, particularly a Finance Bill, a detailed explanatory memorandum is published in the form of a White Paper.","Mr. O'Malley",":There would be great practical difficulties in producing a detailed memorandum explaining all the proposals covered by a typical Finance Bill to coincide with the publication of the Bill. On the other hand, on the occasion of the Finance Bill, 1962, a White Paper was issued explaining the provisions relating to short-term gains and my right hon. Friend the Chancellor of the Exchequer will continue to bear in mind the possibility of publishing, at a reasonable interval after the publication of the Bill itself, a memorandum about unusually complicated sections of the Bill.",1963-07-04,NULL
2574,"asked the Prime Minister whether he will take steps to enable the House in future to discuss the reports of the Ecclesiastical Committee on Measures presented by the Church Assembly for its consideration, so that hon. Members may have the opportunity of expressing their opinions before being presented with a completed Measure which they have the option of approving or rejecting but not of amending.","Mr. John Page","No, Sir. I do not think it would be right for the Government to take an initiative of this kind.",1963-07-25,NULL
2691,"Can the right hon. Gentleman explain in what capacity the Lord Chancellor appeared on the platform at the Tory Party conference in October? Will he say in what capacity the noble Lord addressed the German judges a few months ago, a speech in which he made a violent attack on the Leader of the Opposition in this House? Does the right hon. Gentleman agree that this is the way to teach German judges the impartiality of the judiciary? I am asking a question of the Prime Minister, Sir, and I should very much like an answer to it.","Mr. Hamilton",rose—,1963-11-21,NULL
2808,"Is the Prime Minister aware that, with due respect to my right hon. Friend the Leader of the Opposition, the usual channels on my side are somewhat conservative? Would he consider on occasion establishing a new channel?","Mr. Donnelly","I do not think I can give the hon. Member much hope, because a lot more people will be going Conservative in future.",1963-12-12,NULL
2925,"Surely my right hon. Friend will agree that democracy requires that there should be the fullest expression in the newspapers of every point of view? Since this cannot be done unless we have a widely diverse type of Press, ought not this to be looked at again?","Sir C. Osborne","It is very difficult. This is a genuine difficulty, as I think the whole House would find. We might be able to stop the acquisition of one newspaper by another, through, let us say, an amalgamations court. But how? If an amalgamation is stopped, we cannot say that the newspaper we wish to save will continue to exist. That is the difficulty.",1964-01-21,NULL
3042,"Are we to understand that the promise given in Standing Committee by the Minister of Defence to my right hon. Friend the Member for Easington (Mr. Shinwell), that three Ministers of Defence for the individual Services would be appointed, will be included in the Order in Council?","Mr. Bellenger","I should not like to say what will be included in the Order in Council. I gather that, whatever is put into an Order in Council or whatever is in present legislation, technically these Ministers will be Ministers of State, but they can be given any title and be paid salaries appropriate to their status.",1964-02-06,NULL
3159,"In giving full support to American policy in South Viet-Nam, did the Prime Minister receive any return assurances from President Johnson that the American Government intended to bring their war in Viet-Nam to an end and to seek a policy based on the Geneva Agreements of 1954?","Mr. Warbey","The whole purpose of this help to the South Viet-Nam Government is to bring these operations to an end, but there is a continuous infiltration of Communists from the north.",1964-03-03,NULL
3276,"Is not the Prime Minister aware that in the week before the Easter Recess we had Answers from the Minister of Health, the Under-Secretary of State for Scotland and the Leader of the House on the question of the World Health Centre which were completely contradictory? In those circumstances does he think that there is something to be said for co-ordinating arrangements in this case? Would he care to take the opportunity to state categorically whether, with the proviso which he has just mentioned, the Government support this idea?","Mr. K. Robinson","We have asked the Director-General of the World Health Organisation to give further consideration of this matter of the international laboratory because as a result of the international discussions the great majority of countries including our own, have not felt that it is desirable at present.",1964-04-07,NULL
3393,"As the Secretary of State for Scotland has committed the Government to a plan to abolish slums in Scotland, will the Prime Minister tell us what time it will take to wipe out the slums that now exist in Glasgow?","Mr. Rankin","The Secretary of State gave the best indication that he could when he said that we aim to do it in 10 years, but it may take longer, of course.",1964-04-23,NULL
3510,"Is not there a strong case for putting on historical record all the facts, not only with regard to the military operations which took place, but also with regard to the political events which led up to the opening of the campaign? Is not this essential in view of the doubts and suspicions which undoubtedly exist on this question?","Mr. A. Henderson","I think that I have answered the right hon. Gentleman's question. I do not think that there is a case for an inquiry.",1964-05-14,NULL
3627,"Will my right hon. Friend agree that the R.A.F., which is there to support B.A.O.R., is equipped with nuclear weapons of British manufacture?","Mr. Hastings","Yes, Sir. The bomber deterrent force has British warheads.",1964-06-25,NULL
3744,"Is the right hon. Gentleman aware that we shall all be gratified to know that in the days of Lord Attlee's Administration not only the country but the House was three times as satisfied with its Prime Minister as it is today? Are we now to take it that the figures given by the right hon. Gentleman will be a real sign of the ineffectiveness of the Conservative Opposition after October?","Mr. H. Wilson","I think the right hon. Gentleman had better wait and see, but I seem to remember that Lord Attlee was defeated.",1964-07-16,NULL
3861,"Does my right hon. Friend recognise the importance of increasing the power and effectiveness of the control of the Legislature over the Executive? As in recent weeks he has rightly strengthened the power and the effectiveness of the Executive, to the extent that he does not do something similar for the Legislature he is increasing the gulf between the two. Does he regard that as wholly desirable?","Mr. Hamilton","As a former Chairman of the Public Accounts Committee, I can say that my hon. Friend is preaching to the converted on this matter. The whole House will be aware of the tremendously increased impact of the Select Committee on Estimates in the last two or three years and of the very valuable work done in that Committee by the appointment of members of the Clerks' staff to work on that Committee. However, this is still an open question and I would have thought that the right place to consider it would be the Select Committee on Procedure.",1964-11-12,NULL
3978,"Can the Prime Minister say what security screening is given to these outside advisers and whether they are allowed to see any classified documents without being screened? Will he advise the advisers that the contradictory briefings given last weekend about the strength of B.A.O.R. are not helpful to anyone?","Mr. Goodhart","Exactly the same security considerations apply here as applied with the previous Government. There has been no change whatsoever in this respect. But I would make this point, because this is a problem which faced the previous Government as well as the present one. There are difficulties about the question of information officers in all Departments, and I think that there is a general desire, which I believe was shared by the previous Government, that we must try to do something towards working out a better form of career service in this field. Of course, it will be essential all the time to keep on recruiting those with journalistic experience, and this is highly desirable. But it would be a good thing if we were able—this is what we are trying to do—to work out a system of recruiting young journalists with short journalistic experience and bring them into a career service and, on occasion, as all Governments have done, to recruit them on a short—service commission basis.",1964-12-03,NULL
4095,"When this meeting is held, will my right hon. Friend consider making proposals for a reduction in military expenditure in view of the crippling effect that this is having on our economy?","Mr. Evans","I think that one of the most important questions which the whole House has agreed should be discussed at the earliest opportunity, both with our allies in N.A.T.O. and of course in any East-West discussion, is the prevention of the proliferation of nuclear weapons. I imagine that this would be a very important subject for discussion and I would feel also that the question, over a period of time, of a reduction of forces and weapons on both sides of the Iron Curtain is something which is of mutual interest to both East and West.",1965-02-02,NULL
4212,"asked the Prime Minister whether he will give an assurance to the Government of India that in the event of that country being invaded by armed forces the British Government will give both military and economic aid independent of the action of the United Nations.","Viscount Lambton","I would refer the hon. Gentleman to my answer to the Question put by the hon. Member for Bury St. Edmunds (Mr. Eldon Griffiths) on 4th February. Any action we should take in such circumstances would be in accordance with the principles of the United Nations Charter and would, we hope, be supported by the Organisation.",1965-02-23,NULL
4329,"Would the Prime Minister answer a simple and non-controversial question on this matter? I know that he is aware that, rightly or wrongly, there has been criticism of the amount of consultation which has taken place. That criticism has come from the House of Commons and from both sides of the steel industry. Is the right hon. Gentleman satisfied that the amount of consultation which has taken place is adequate?","Mr. Iain Macleod","Yes, Sir. My right hon. Friend is perfectly willing to meet anyone who wishes to be consulted on this question. He has been willing throughout, and if there has not been more consultation it is because it has not been asked for.",1965-03-16,NULL
4446,"Does the Prime Minister still believe that the proportion of our trade with the Commonwealth could be greatly increased or does not he now think it likely that, over a long period, it will continue to decline, as was persuasively argued in his pamphlet, "Why Britain should enter the Common Market", written a couple of years ago by the Secretary of State for Commonwealth Relations?","Mr. Chataway","I am glad the hon. Gentleman is widening his reading. I should be very sorry to feel that he was really as defeatist about increasing Commonwealth Trade as he suggests. For some years now, there has been a decline, and it is regrettable that the decline accelerated in the past four or five years. I am not underestimating the difficulties of reversing the decline. I wish that somebody had started on it  a bit earlier; that is all. We shall certainly do what we can to halt the decline and reverse the trend, and I should not like to begin approaching the problem with the pessimism of the hon. Gentleman.",1965-04-01,NULL
4563,"Can the right hon. Gentleman tell us what is the precise rôle of the Paymaster-General in this particular matter?","Mr. Stainton","I may even have something to say on that subject when I am free to make a statement on security. I am sure that the hon. Gentleman will realise that this Government, on coming into office, decided to set on foot all the arrangements necessary so that we should never again have a situation of a Prime Minister saying that he had never been told about security matters that had been common knowledge for three months.",1965-05-06,NULL
4680,"How can we operate air power east of Suez without the strongest reconnaissance aircraft with a range of 1,500 miles? If this is not to be another example of the Prime Minister's double standards, surely we have no alternative but to buy the F.111 with our scarce money resources?","Mr. Ridsdale","The double standards arise in the pretence that we have got the TSR2 or that it would be available in the time required. As my right hon. Friend and I have made clear many times, we are going through a very intensive review of our rôles in different possible theatres in relation to the cost, something which apparently our predecessors never did.  This is clear in view of the escalation of defence costs in the last year or two. As soon as this is clear, I hope that we shall be able to report to the House about our conclusions. The answer I gave to the first question represents the position of the Government as at present until the review is completed.",1965-05-25,NULL
4797,"Is not the Prime Minister aware of the mounting tide of criticism in this country and that people are going about saying, "Don't blame me, I voted Conservative"? Is he preparing to get the Ministers, all 119 of them, to write to the Press to reply to this criticism?","Sir Knox Cunningham","The hon. Gentleman and I live in two different countries. The fact that people who voted Conservative and are prepared to admit to it are now saying so is not a sign of any change  of opinion on their part or that of anybody else. However, I am a little surprised that they should be using slogans borrowed from or reproduced from an American slogan, "Don't blame me, I voted Goldwater".",1965-06-22,NULL
4914,"Arising out of the supplementary question asked by the hon. Member for Ebbw Vale (Mr. Michael Foot), may I ask the right hon. Gentleman whether he accepts that if the Government recognise that the problem is one of integration and that that is the angle to be tackled, and not one of restriction, and he resists the short-term political prejudices which are sweeping certain parts of the House, he will be warmly applauded for taking action which recognises the economic importance of these immigrants and the vital rôle of Britain in the centre of a multi-coloured Commonwealth?","Mr. Thorpe","My advice to the hon. Gentleman is to await the statement and the White Paper. I have said that the White Paper and the statement will deal fully with the problems of assimilation and integration as well as with certain questions which have arisen about the effectiveness of the controls and evasion. The White Paper will, I hope, be comprehensive in its scope, and I ask the hon. Gentleman to await it.",1965-07-08,NULL
5031,"asked the Prime Minister what plans Her Majesty's Government have for the reclassification of secret Government papers.","Viscount Lambton","Review of the classification of Government papers is a continuing process.",1965-07-29,NULL
5148,"Would not the Prime Minister agree that, while everybody has a right to protest to the B.B.C. about its conduct, it is extremely important that we should encourage and support independent decisions by the B.B.C. and that we in political parties should not try and decide what is appropriate or inappropriate in this type of broadcast? If the broadcasting authorities go seriously wrong, no doubt the matter can be raised in debate, but surely the more decisions the B.B.C. takes independently on as many points as it likes, the better.","Mr. Grimond","Certainly. I am aware that there have not been many complaints about the performance of Independent Television and, indeed, the impartiality shown in all these matters by the Chairman. But I think that the ground rules, if there must be ground rules, should be worked out by consultation between the principal parties in this House and then by the television authorities. Subject to that, I agree with what the right hon. Gentleman has said.",1965-11-16,NULL
5265,"asked the Prime Minister what plans he has for visiting the United Nations Organisation and participating in the meeting of the United Nations General Assembly.","Mr. Ioan L. Evans","I shall be visiting the United States later this month and hope to address the General Assembly of the United Nations on 16th December.",1965-12-02,NULL
5382,"Will the right hon. Gentleman give a clear answer, yes or no? If he decides to purchase the F111, will it increase the nuclear delivery capacity of this country or not? In fact, it will.","Mr. Heath","If the right hon. Gentleman will put a clear question, he will get a clear answer. As to the way in which he has now formulated the question, if there were a purchase of another aircraft which had the power to deliver bombs—we have already got the Canberras, as he knows—if there were such a purchase it would increase the power of delivery, but this is going to be internationalised.  The right hon. Gentleman's belief that we have an independent deterrent is, of course, a completely false assumption from the start. What we have will be internationalised with or without any further purchase of aircraft.",1966-01-25,NULL
5499,"If a strike should take place, will the Prime Minister consider suspending the road traffic regulations to permit privates bus and coach operators to run services into London and allow private cars to operate and carry passengers without incurring any insurance liabilities?","Sir J. Rodgers","The hon. Gentleman had better wait for the statement that we shall be making, probably later today. As I say, we have to concentrate our efforts at the moment on trying to avoid this strike taking place.",1966-02-10,NULL
5616,"Does that mean that this particular pledge, which was given at the last election in order to pacify the Left wing, is still the Labour Govern-  ment's policy? Or is it, like steel nationalisation, to be dropped?","Mr. Marten","Of course it is the Government's policy, as I have explained on a number of occasions.  Of course it is— As soon as we are able to reach agreement with our allies on the form of the Atlantic Nuclear Force. I hope that hon. Gentlemen opposite will not go on pressing us to fall over ourselves to put nuclear weapons in the hands of the Germans.",1966-03-03,NULL
5733,"Would the Prime Minister consider setting up within the Estimates Committee an economic policy committee through which we could cross-examine the intentions of the Treasury?","Mr. Gresham Cooke","This is a very bad moment to talk about the intentions of the Treasury when we have not yet heard the Budget statement. But I should have thought that the House has abundant opportunities to debate economic policies, and the view expressed by many hon. Members on both sides of the House is that there are not corresponding facilities in other fields of national and, indeed, international policy.",1966-05-03,NULL
5850,"In view of the perfidious attack by supporters of Marshal Ky upon Buddhists in Da Nang this week, would the Prime Minister seek some clarification of the position of the Government of South Vietnam with regard to the holding of free elections?","Mr. Rose","The question of free elections was raised in a previous  Question this afternoon, and it is our understanding that it is intended to proceed first to an interim stage and then to free elections at a later stage, probably next year. I have made quite plain that our attitude to the question of Vietnam is not dependent on what we may or may not think of individual Ministers of the Government of South Vietnam, including the Prime Minister. There are far bigger issues at stake and all of them could be solved if the parties would get to the conference table.",1966-05-17,NULL
5967,"Is there not a very important point of principle here, in that the functions of the Minister of Labour as a Minister for conciliation—he is responsible under the Act for conciliation and has officers in his Department responsible for conciliation—can conflict with the incomes policy of any Government? In these circumstances, which course is he to pursue? Surely this is a major matter of principle which should be decided by any Government.","Mr. Heath","There would be a conflict if one thought that my right hon. Friend's conciliation duties were simply to split the difference between the  employers and the trade union concerned without regard to the national interest. It must always be the duty of any Government—I am sure that the right hon. Gentleman agrees—to have regard to the third party to every bargain, namely, the public and the national interest. Having seen my right hon. Friend at work in tie last two or three days on one of the most difficult problems, I see no difficulty or conflict in the duties imposed on him.",1966-06-16,NULL
6084,"In any consultations within the Commonwealth, or within the Commonwealth Peace Mission if it is re-established, will the Prime Minister do his best to make sure that full weight is given to the views of the Governments of Australia and New Zealand?","Mr. Blaker","When the original Commonwealth Peace Mission was appointed—and it was very enthusiastically supported by the then Prime Minister of Australia, Sir Robert Menzies, as he made clear—they were fully involved in not only the selection of the proposed Peace Mission, but also in its terms of reference and in the guide lines given to it.",1966-07-05,NULL
6201,"Do I understand from the Prime Minister's first reply that he confirms that there is no intention to reduce defence expenditure below the budgeted figure of £2,000 million, as at 1964 prices, in 1969–70?","Mr. Powell","I said that our policy is, and has been, to keep defence expenditure within a level of £2,000 million a year at 1964 prices, not to increase it by £300 million or £400 million a year, which is the right hon. Gentleman's policy.",1966-07-19,NULL
6318,"asked the Prime Minister whether he will appoint a Minister of State to advise upon the supply and production rate of building materials.","Mr. Chichester-Clark","No, Sir.",1966-08-04,NULL
6435,"Would my right hon. Friend agree that, in achieving this purpose, it makes no economic sense to reduce our commitments to overseas aid by £20 million in the coming year as part of our freeze measures, if overseas aid is designed to build up the economies of underdeveloped countries, thereby increasing our markets?","Mr. Lyon","In the first place, I do not think that the motive for aid  or developmental capital should be solely or mainly for the purpose of increasing our markets. It is a fact that over the past few years, under successive Governments in this country, the amount devoted to aid has risen quite considerably and pretty steadily. It has increased considerably in the last two years and is still at a record level for this country. In this situation, when we have had to count every penny of overseas expenditure, it was inevitable that some restriction on the increase—not a cut—had to be laid down for aid, although the cut there is very much smaller than is envisaged in the case of defence.",1966-10-25,NULL
6552,"asked the Prime Minister if he will take steps to establish a National Investment Board.","Mr. Dickens","Not at present, Sir.",1966-11-10,NULL
6669,"Is not my right hon. Friend aware that very many of us on this side of the House approve entirely of what my right hon. Friend the Lord President said, and furthermore would like to see the kind of action indicated in that speech? The time has now surely come to introduce selective and far-reaching measures of reflation.","Mr. Buchan","Since my hon. Friend agrees with my right hon. Friend and I agree with my right hon. Friend, obviously my hon. Friend and I are in agreement. What was said by my right hon. Friend about selective reflation in terms of encouragement of investment is what I said at the meeting of the Productivity Conference two months ago, and this is the basis on which we should be concentrating our endeavours at this stage.",1966-11-24,NULL
6786,"Will the Prime Minister give the House an assurance that, at a time when Britain's impending entry into the Common Market may cause some strain on our Commonwealth relationships, he attaches the highest possible importance to the maintenance of the closest liaison on all matters at all times with our two sister British nations on the other side of the world?","Mr. Braine","I always have attached the highest priority to that, and will continue to do so, not least during this period when we are involved in these discussions.",1966-12-13,NULL
6903,"Can the Prime Minister tell us for what services to the British Empire he got his O.B.E.?","Mr. Dodds-Parker","That honour was net for me to question. It was recommended by Sir Winston Churchill. I should have thought that that would be an answer to the hon. Member. He will have noticed that the little habit of the Conservatives, in all the years except one, of appointing the Chairman of the Young Conservatives to the M.B.E.—many of them are here—has not been followed by us.",1967-01-31,NULL
7020,"Does the right hon. Gentleman recall that the electorate expect from him regular and routine summit meetings? It has been rather a long time since he has seen President Johnson. Some of his supporters would, I know, like him to do so. Will he not fix an early date?","Mr. Marten","It is some seven months since I saw the President, and that is about the average in the period since I came to office. I think that before that the average was about once a year, although there were variations between good years and bad. I will certainly inform the hon. Member as soon as anything is arranged.",1967-02-16,NULL
7137,"Does my right hon. Friend agree that a majority of people in this country are neither fanatically for or against our entry but believe that we should go in if suitable conditions can be  negotiated, and will he agree also that there are certain matters, such as the free movement of capital, which will need a good deal of negotiating before our entry?","Mr. Winnick","I agree that there is a considerable body of opinion, the majority of opinion in this country, which thinks that we should enter the European Economic Community if the right terms can be obtained. The purpose of our visits is to learn more about the sort of conditions which could be obtained. Certain aspects of the question of the free movement of capital raise one of the difficult questions which I have told the House still remain unsolved.",1967-03-07,NULL
7254,"asked the Prime Minister if he will define what is meant by a national dividend.","Mr. Grimond","A national dividend is a means of expressing the total sum available in each year for distribution in increased wages, salaries and other incomes consistent with stability in the general level of prices.",1967-03-21,NULL
7371,"We have become accustomed to the Prime Minister and his colleagues publishing statements they make at private party meetings, but is it not an unusual procedure that the House should be informed of the contents of such important discussions as the Prime Minister and the Foreign Secretary have had on the vital issue of our time by later publication of statements which have been made at private party meetings? Is it not more in line with the customs of the House and constitutional Government for the Government to publish a full White Paper at the beginning?","Mr. Heath","It might have been interesting if the right hon. Gentleman and other Leaders of the Conservative Party had published to the House the statements they made to their private party meetings, both on this and other issues. Since the right hon. Gentleman wants to know what was said at a private meeting—and it is suspected that more may have been said there than here—I have arranged to make everything said there available to the House. I have said that if at the conclusion  of those discussions and when the Cabinet have taken their inquiries further it is felt that a White Paper is necessary, we shall not hestitate to publish one.",1967-04-13,NULL
7488,"Will the right hon. Gentleman have a look at Article 51 of the Treaty of Rome which appears to demand a unanimous vote, that is to say, to allow a veto, in matters concerning migration within the Community?","Mr. Longden","I am, of course, aware of that Article but, as I have said, there are some very difficult questions, not yet resolved, of fact. I do not know whether they will present particular difficulties for us, but we want to analyse them and to see how serious they are. They will then be a matter for discussion and possible negotiation.",1967-05-04,NULL
7605,"asked the Prime Minister if he will make a statement on the start of negotiations for entry into the European Economic Community.","Mr. G. Campbell","I have nothing to add to the Answer given by my right hon. Friend the Foreign Secretary on 1st June to a Question by my hon. Friend the Member for Croydon, South (Mr. Winnick).—",1967-06-15,NULL
7722,"Is the right hon. Gentleman aware that in another place the Lord Chancellor indicated that——I am entitled to do so; this is a statement of policy—that Her Majesty's Government had never looked for immediate majority rule and that the Government had always said— He said that the Government had always taken the view that Africans were not ready for self-government. Would the Prime Minister explain the apparent contradiction between that and the Government's policy of N.I.B.M.A.R.?","Sir J. Langford-Holt","I have made it clear on a very large number of occasions, to Mr. Smith when I was in Salisbury, in my public statements in Salisbury, and in the House afterwards on very many occasions, that there would be a considerable period before majority rule in Rhodesia was a serious possibility, or should be contemplated. That was the whole basis of what we said on those occasions. That was still our view when we discussed it on H.M.S. "Tiger" with Mr. Smith. We had some discussions about whether particular constitutional proposals would be likely after two or three elections, or whatever it was, to lead to majority rule, but, of course, no date was set in our discussions. There is nothing incompatible between what was said on that occasion and our declaration about N.I.B.M.A.R.",1967-06-29,NULL
